,BALBOA LAKE MGD,J GARDEN MGD,WILDLIFE LAKE MGD,SOUTH CHANNEL WEIR MGD,Datetime
267,86343.54688,-2592669.0,582573.5,8323852.0,2017-10-12 03:00:00
268,86337.26563,-2592481.5,582531.375,8323237.5,2017-10-12 04:00:00
269,86331.0,-2592293.5,582489.125,8322623.5,2017-10-12 05:00:00
270,86324.71875,-2592106.0,582447.0,8322009.5,2017-10-12 06:00:00
271,86318.45313,-2591918.0,582404.75,8321395.0,2017-10-12 07:00:00
272,86312.17188,-2591730.0,582362.625,8320781.0,2017-10-12 08:00:00
273,86305.90625,-2591542.5,582320.375,8320167.0,2017-10-12 09:00:00
274,86299.625,-2591354.5,582278.125,8319553.0,2017-10-12 10:00:00
275,86293.35938,-2591167.0,582236.0,8318938.5,2017-10-12 11:00:00
276,86287.07813,-2590979.0,582193.75,8318324.5,2017-10-12 12:00:00
277,86280.8125,-2590791.5,582151.625,8317710.5,2017-10-12 13:00:00
278,86274.53125,-2590603.5,582109.375,8317096.0,2017-10-12 14:00:00
279,86268.26563,-2590415.5,582067.25,8316482.0,2017-10-12 15:00:00
280,86261.98438,-2590228.0,582025.0,8315868.0,2017-10-12 16:00:00
281,86255.71875,-2590040.0,581982.875,8315253.5,2017-10-12 17:00:00
282,86249.4375,-2589852.5,581940.625,8314639.5,2017-10-12 18:00:00
283,86243.17188,-2589664.5,581898.5,8314025.5,2017-10-12 19:00:00
284,86236.89063,-2589477.0,581856.25,8313411.0,2017-10-12 20:00:00
285,86230.625,-2589289.0,581814.0,8312797.0,2017-10-12 21:00:00
286,86224.34375,-2589101.5,581771.875,8312183.0,2017-10-12 22:00:00
287,86218.07813,-2588913.5,581729.625,8311569.0,2017-10-12 23:00:00
288,86211.79688,-2588725.5,581687.5,8310954.5,2017-10-13 00:00:00
289,86205.53125,-2588538.0,581645.25,8310340.5,2017-10-13 01:00:00
290,86199.25,-2588350.0,581603.125,8309726.5,2017-10-13 02:00:00
291,86192.98438,-2588162.5,581560.875,8309112.0,2017-10-13 03:00:00
292,86186.70313,-2587974.5,581518.75,8308498.0,2017-10-13 04:00:00
293,86180.4375,-2587787.0,581476.5,8307884.0,2017-10-13 05:00:00
294,86174.15625,-2587599.0,581434.25,8307269.5,2017-10-13 06:00:00
295,86167.89063,-2587411.5,581392.125,8306655.5,2017-10-13 07:00:00
296,86161.60938,-2587223.5,581349.875,8306041.5,2017-10-13 08:00:00
297,86155.34375,-2587035.5,581307.75,8305427.0,2017-10-13 09:00:00
298,86149.0625,-2586848.0,581265.5,8304813.0,2017-10-13 10:00:00
299,86142.79688,-2586660.0,581223.375,8304199.0,2017-10-13 11:00:00
300,86136.51563,-2586472.5,581181.125,8303585.0,2017-10-13 12:00:00
301,86130.25,-2586284.5,581139.0,8302970.5,2017-10-13 13:00:00
302,86123.96875,-2586097.0,581096.75,8302356.5,2017-10-13 14:00:00
303,86117.70313,-2585909.0,581054.625,8301742.5,2017-10-13 15:00:00
304,86111.42188,-2585721.5,581012.375,8301128.0,2017-10-13 16:00:00
305,86105.15625,-2585533.5,580970.125,8300514.0,2017-10-13 17:00:00
306,86098.875,-2585345.5,580928.0,8299900.0,2017-10-13 18:00:00
307,86092.60938,-2585158.0,580885.75,8299285.5,2017-10-13 19:00:00
308,86086.32813,-2584970.0,580843.625,8298671.5,2017-10-13 20:00:00
309,86080.0625,-2584782.5,580801.375,8298057.5,2017-10-13 21:00:00
310,86073.79688,-2584594.5,580759.25,8297443.0,2017-10-13 22:00:00
311,86067.51563,-2584407.0,580717.0,8296829.0,2017-10-13 23:00:00
312,86061.25,-2584219.0,580674.875,8296215.0,2017-10-14 00:00:00
313,86054.96875,-2584031.5,580632.625,8295601.0,2017-10-14 01:00:00
314,86048.70313,-2583843.5,580590.5,8294986.5,2017-10-14 02:00:00
315,86042.42188,-2583655.5,580548.25,8294372.5,2017-10-14 03:00:00
316,86036.15625,-2583468.0,580506.0,8293758.5,2017-10-14 04:00:00
317,86029.875,-2583280.0,580463.875,8293144.0,2017-10-14 05:00:00
318,86023.60938,-2583092.5,580421.625,8292530.0,2017-10-14 06:00:00
319,86017.32813,-2582904.5,580379.5,8291916.0,2017-10-14 07:00:00
320,86011.0625,-2582717.0,580337.25,8291301.5,2017-10-14 08:00:00
321,86004.78125,-2582529.0,580295.125,8290687.5,2017-10-14 09:00:00
322,85998.51563,-2582341.5,580252.875,8290073.5,2017-10-14 10:00:00
323,85992.23438,-2582153.5,580210.75,8289459.0,2017-10-14 11:00:00
324,85985.96875,-2581965.5,580168.5,8288845.0,2017-10-14 12:00:00
325,85979.6875,-2581778.0,580126.25,8288231.0,2017-10-14 13:00:00
326,85973.42188,-2581590.0,580084.125,8287617.0,2017-10-14 14:00:00
327,85967.14063,-2581402.5,580041.875,8287002.5,2017-10-14 15:00:00
328,85960.875,-2581214.5,579999.75,8286388.5,2017-10-14 16:00:00
329,85954.59375,-2581027.0,579957.5,8285774.5,2017-10-14 17:00:00
330,85948.32813,-2580839.0,579915.375,8285160.0,2017-10-14 18:00:00
331,85942.04688,-2580651.5,579873.125,8284546.0,2017-10-14 19:00:00
